event_id,date,lat,lon,dep,mag
88,2017-11-04T09:01:05.010,-4.5055,-77.8678,45.5,4.1
89,2017-11-03T13:12:07.230,-15.6411,-70.4974,199.75,4.6
90,2017-11-01T04:27:49.710,-8.6919,-75.6375,10,4.2
91,2017-11-01T03:36:05.390,-11.7344,-77.2918,70.04,4.2
92,2017-10-30T17:12:06.590,-10.756,-74.6931,101.08,5.4
93,2017-10-29T05:30:00.590,-16.4226,-73.5627,35,4.3
94,2017-10-27T03:48:28.060,-8.4612,-79.9693,29.53,4.7
95,2017-10-24T20:59:26.810,-16.2233,-73.4108,114.9,4.2
96,2017-10-23T00:09:14.310,-12.3589,-77.2037,39.69,4.3
97,2017-10-22T07:48:07.540,-5.2366,-75.7149,35.24,4.4
98,2017-10-22T01:37:08.260,-15.1643,-73.9744,84.17,5
99,2017-10-21T21:38:30.230,-16.624,-73.5148,42.07,4.1
100,2017-10-17T13:39:03.760,-15.7139,-70.7393,209.77,4.4
101,2017-10-16T21:54:48.020,-16.7252,-69.6099,203.65,4.2
102,2017-10-14T20:53:58.660,-14.3437,-73.4389,58.07,4.9
103,2017-10-14T19:36:06.460,-11.9678,-76.4139,10,4.4
104,2017-10-06T15:32:10.140,-4.2813,-80.7921,35.17,4.5
105,2017-09-29T19:12:45.530,-16.0604,-72.6717,162.71,4.5
106,2017-09-27T20:58:21.120,-10.8691,-73.9242,104.23,4.4
107,2017-09-27T20:05:12.990,-15.1614,-71.6095,131.74,4.5
108,2017-09-26T08:33:23.300,-5.8816,-77.3785,10,4.4
109,2017-09-26T00:54:14.290,-12.1347,-77.6296,37.62,3.9
110,2017-09-25T18:32:05.060,-14.4689,-74.0055,85.33,4.3
111,2017-09-24T06:39:39.830,-14.3256,-75.5196,35.33,4.6
112,2017-09-20T17:51:41.180,-18.1418,-70.0717,97.54,4.7
113,2017-09-20T05:26:10.090,-16.293,-71.2327,106.18,5.3
114,2017-09-18T06:10:47.520,-11.3617,-75.8514,107.44,4.2
115,2017-09-15T04:10:38.860,-11.8929,-76.4215,10,4.3
116,2017-09-14T08:19:26.850,-11.9963,-76.4314,10,4.6
117,2017-09-09T10:44:27.200,-15.3425,-70.2262,224.81,4.2
118,2017-09-04T23:15:59.540,-15.1443,-71.6864,125.41,4.2
119,2017-09-04T11:56:13.950,-8.8225,-78.5142,103.52,4.5
120,2017-09-01T22:28:23.700,-8.5943,-74.3259,161.86,4.5
121,2017-09-01T18:16:30.610,-11.1281,-75.3784,101.69,4.5
122,2017-09-01T03:42:17.400,-15.554,-70.7921,170.2,4.6
123,2017-08-29T02:09:20.610,-15.4507,-70.3456,207.97,4.3
124,2017-08-28T10:05:31.680,-15.5598,-70.4666,198.76,4.3
125,2017-08-28T07:20:56.210,-13.5206,-70.2165,12.23,4.8
126,2017-08-28T06:26:47.890,-8.0014,-74.5755,153.18,4.1
127,2017-08-25T09:12:57.060,-15.2498,-73.3664,76.78,4.3
128,2017-08-24T09:24:53.130,-6.3469,-80.6988,10,4.2
129,2017-08-23T11:57:25.870,-15.2997,-74.0293,68.28,4.6
130,2017-08-20T17:42:16.510,-13.7578,-75.6917,79.75,5.1
131,2017-08-19T03:22:28.910,-10.792,-78.9689,39.49,4.6
132,2017-08-18T14:36:28.760,-14.7948,-71.1444,158.16,4.6
